Reported_Epoch,Loss_DV,Loss_DS,Loss_adv_vocal,Loss_adv_speech,Loss_Cycle_Vocal,Loss_Cycle_Speech,Loss_Identity_Vocal,Loss_Identity_Speech,Grad_Norm_DV,Grad_Norm_DS,Grad_Norm_GV,Grad_Norm_GS,num_DV_updates,num_DS_updates,Global_Epoch
3,0.5966,0.5947,0.1295,0.1363,2.208,2.3626,5.3102,5.1883,0.0,0.0,0.0084,0.0084,0.0,0.0,153
4,0.5973,0.5953,0.1292,0.1364,2.1684,2.3445,5.2827,5.1635,0.0,0.0,0.0074,0.0072,0.0,0.0,154
5,0.5964,0.5955,0.1294,0.1361,2.1509,2.3336,5.2734,5.1539,0.0,0.0,0.0069,0.0066,0.0,0.0,155
6,0.5968,0.5949,0.1293,0.1361,2.173,2.3424,5.2626,5.1381,0.0,0.0,0.0079,0.0079,0.0,0.0,156
7,0.5975,0.5951,0.129,0.1362,2.1957,2.3431,5.2591,5.1295,0.0,0.0,0.0072,0.0071,0.0,0.0,157
8,0.597,0.5945,0.129,0.1361,2.2232,2.3734,5.2408,5.1182,0.0,0.0,0.0075,0.0074,0.0,0.0,158
9,0.5975,0.5955,0.1285,0.1361,2.166,2.3194,5.1923,5.0982,0.0,0.0,0.007,0.0069,0.0,0.0,159
10,0.5984,0.5948,0.1287,0.1359,2.1674,2.3231,5.2118,5.0826,0.0,0.0,0.0071,0.0069,0.0,0.0,160
11,0.598,0.5955,0.1287,0.1365,2.1293,2.3007,5.1505,5.0779,0.0,0.0,0.0068,0.0066,0.0,0.0,161
12,0.5981,0.5952,0.1288,0.1356,2.1456,2.3135,5.1215,5.0596,0.0,0.0,0.0075,0.0073,0.0,0.0,162
13,0.5977,0.5956,0.1286,0.1359,2.1428,2.3039,5.0993,5.0484,0.0,0.0,0.0071,0.0068,0.0,0.0,163
14,0.5991,0.596,0.1288,0.1361,2.1331,2.2893,5.0711,5.0381,0.0,0.0,0.0074,0.0073,0.0,0.0,164
15,0.5983,0.5956,0.1288,0.1361,2.1798,2.3189,5.0669,5.034,0.0,0.0,0.0074,0.0073,0.0,0.0,165
16,0.5984,0.5948,0.1283,0.136,2.1748,2.3318,5.0376,5.0222,0.0,0.0,0.0073,0.0073,0.0,0.0,166
17,0.5974,0.5946,0.129,0.1361,2.1812,2.3457,5.014,5.0166,0.0,0.0,0.0074,0.0073,0.0,0.0,167
